Track,Step ID,Step Title,navigateTo,Button Text,Corrected navigateTo,Notes
Preserve Your Memories,p_first_photo,Upload your first photo,room,Go to Room,,
Preserve Your Memories,p_10_photos,Upload 10 photos,upload,Go to Upload,,
Preserve Your Memories,p_50_photos,Upload 50 photos,upload,Go to Upload,,
Preserve Your Memories,p_100_photos,Upload 100 photos,upload,Go to Upload,,
Preserve Your Memories,p_first_video,Upload your first video,upload,Go to Upload,,
Preserve Your Memories,p_first_audio,Upload your first audio,upload,Go to Upload,,
Preserve Your Memories,p_3_rooms,Fill 3 rooms with memories,corridor,Go to Corridor,,
Preserve Your Memories,p_mass_import,Use mass import,upload,Go to Upload,,
Preserve Your Memories,p_10_descriptions,Add descriptions to 10 memories,room,Go to Room,,
Preserve Your Memories,p_5_locations,Add location data to 5 memories,room,Go to Room,,
Visualize Your Palace,v_visit_5_wings,Visit all 5 wings,wings,Explore Wings,,
Visualize Your Palace,v_customize_wing,Customize a wing,wings,Explore Wings,,
Visualize Your Palace,v_change_layout,Change a room layout,room,Go to Room,,
Visualize Your Palace,v_create_room,Create a custom room,corridor,Go to Corridor,,
Visualize Your Palace,v_rename_3_rooms,Rename 3 rooms,corridor,Go to Corridor,,
Visualize Your Palace,v_set_5_hues,Set cover hues for 5 memories,room,Go to Room,,
Visualize Your Palace,v_reorder,Arrange memories in a room,room,Go to Room,,
Enhance Your Memories,e_long_desc,Write a detailed description,room,Go to Room,,
Enhance Your Memories,e_voice_memo,Record a voice memo,room,Go to Room,,
Enhance Your Memories,e_journal,Write a journal entry,room,Go to Room,,
Enhance Your Memories,e_historical,Add historical context,room,Go to Room,,
Enhance Your Memories,e_4_wings,Memories in 4 wings,wings,Explore Wings,,
Enhance Your Memories,e_all_types,Use all 6 memory types,upload,Go to Upload,,
Future Resolutions,r_first_capsule,Create a time capsule,upload,Go to Upload,,
Future Resolutions,r_next_year,Time capsule for next year,upload,Go to Upload,,
Future Resolutions,r_5_years,Time capsule for 5+ years,upload,Go to Upload,,
Future Resolutions,r_3_goals,Set 3 future goals,upload,Go to Upload,,
Future Resolutions,r_future_letter,Letter to your future self,upload,Go to Upload,,
Your Legacy,l_legacy_contact,Designate a legacy contact,legacy,Open Legacy,,
Your Legacy,l_final_message,Write a final message,legacy,Open Legacy,,
Your Legacy,l_wing_access,Set wing access for a contact,legacy,Open Legacy,,
Your Legacy,l_review,Review legacy settings,legacy,Open Legacy,,
Co-Create Together,c_first_share,Share your first room,share,Go to Share,,
Co-Create Together,c_accepted,Have a share accepted,share,Go to Share,,
Co-Create Together,c_receive,Receive a contributed memory,share,Go to Share,,
Co-Create Together,c_3_wings,Share rooms in 3 wings,share,Go to Share,,
Co-Create Together,c_5_people,Invite 5 different people,share,Go to Share,,
